     n     repetitions 	 time
     0    24410168    0.000000
    10     5417691    0.000000
    20     2080070    0.000000
    30      923213    0.000001
    40      469210    0.000002
    50      335534    0.000003
    60      215404    0.000005
    70      145700    0.000007
    80      126872    0.000008
    90      111211    0.000009
   100       90469    0.000011
   200       21535    0.000046
   300        7944    0.000126
   400        5598    0.000179
   500        3649    0.000274
   600        1939    0.000516
   700        1717    0.000582
   800        1306    0.000766
   900        1079    0.000929
  1000         898    0.001115
  1100         626    0.001597
  1200         621    0.001612
  1300         535    0.001869
  1400         478    0.002092
  1500         416    0.002409
  1600         341    0.002933
  1700         305    0.003289
  1800         261    0.003835
  1900         241    0.004154
  2000         233    0.004292
