     n       descending      ascending      random
     0     0.000000    0.000000    0.000000
    10     0.000000    0.000000    0.000001
    20     0.000001    0.000000    0.000002
    30     0.000001    0.000001    0.000004
    40     0.000003    0.000001    0.000007
    50     0.000004    0.000002    0.000008
    60     0.000007    0.000003    0.000015
    70     0.000008    0.000006    0.000030
    80     0.000018    0.000008    0.000042
    90     0.000027    0.000010    0.000048
   100     0.000034    0.000014    0.000057
   200     0.000133    0.000051    0.000208
   300     0.000248    0.000116    0.000484
   400     0.000418    0.000179    0.000853
   500     0.000651    0.000272    0.001285
   600     0.000985    0.000424    0.001828
   700     0.001372    0.000542    0.002717
   800     0.001802    0.000704    0.003657
   900     0.002107    0.001006    0.004473
  1000     0.002879    0.001163    0.006262
  1100     0.003614    0.002547    0.010330
  1200     0.004630    0.001664    0.008008
  1300     0.005081    0.002083    0.008641
  1400     0.005865    0.002488    0.011494
  1500     0.006562    0.003106    0.013026
  1600     0.007522    0.002841    0.011929
  1700     0.007937    0.003307    0.016443
  1800     0.009100    0.003763    0.019038
  1900     0.011144    0.004529    0.020714
  2000     0.011894    0.005364    0.021447
