     n      descending      ascending      random
     0    0.000000    0.000000    0.000000
    10    0.000000    0.000000    0.000001
    20    0.000000    0.000000    0.000001
    30    0.000001    0.000000    0.000002
    40    0.000002    0.000000    0.000003
    50    0.000002    0.000000    0.000003
    60    0.000003    0.000000    0.000005
    70    0.000004    0.000000    0.000005
    80    0.000006    0.000000    0.000007
    90    0.000008    0.000000    0.000008
   100    0.000008    0.000000    0.000009
   200    0.000040    0.000001    0.000027
   300    0.000074    0.000001    0.000049
   400    0.000133    0.000001    0.000083
   500    0.000220    0.000001    0.000123
   600    0.000290    0.000002    0.000178
   700    0.000390    0.000002    0.000226
   800    0.000514    0.000002    0.000309
   900    0.000633    0.000003    0.000377
  1000    0.000854    0.000003    0.000446
  1100    0.001010    0.000004    0.000565
  1200    0.001176    0.000004    0.000705
  1300    0.001358    0.000004    0.000713
  1400    0.001569    0.000005    0.000962
  1500    0.001769    0.000005    0.001199
  1600    0.002512    0.000004    0.001485
  1700    0.004102    0.000011    0.002327
  1800    0.005416    0.000011    0.002910
  1900    0.006856    0.000012    0.004634
  2000    0.013184    0.000014    0.003729
